lum_reg_n,lum_year,luc_name,sum
Auckland,2008,Grassland - High producing,201097.82361113488
Auckland,2008,Natural Forest,144697.52876746791
Auckland,2008,Settlements,51023.44108190616
Auckland,2008,Planted Forest - Pre-1990,43669.64972173244
Auckland,2008,Grassland - Low producing,24189.22559306530
Auckland,2008,Post 1989 Forest,11035.96791044180
Auckland,2008,Grassland - With woody biomass,10015.27972307562
Auckland,2008,Cropland - Annual,6407.24780791118
Auckland,2008,Other,3476.19212880877
Auckland,2008,Cropland - Perennial,2946.27500489426
Auckland,2008,Wetland - Open water,2295.93350743807
Auckland,2008,Wetland - Vegetated non forest,1525.08003348337
Bay of Plenty,2008,Natural Forest,577752.22166224705
Bay of Plenty,2008,Planted Forest - Pre-1990,266959.80162198095
Bay of Plenty,2008,Grassland - High producing,168804.59923534798
Bay of Plenty,2008,Grassland - Low producing,92784.98419010706
Bay of Plenty,2008,Grassland - With woody biomass,31789.24829112177
Bay of Plenty,2008,Wetland - Open water,24849.12863286000
Bay of Plenty,2008,Post 1989 Forest,20212.42454541991
Bay of Plenty,2008,Cropland - Perennial,17536.90028540774
Bay of Plenty,2008,Settlements,14088.35329984019
Bay of Plenty,2008,Cropland - Annual,7805.95970977399
Bay of Plenty,2008,Other,2849.98985675561
Bay of Plenty,2008,Wetland - Vegetated non forest,2494.37040684518
Canterbury,2008,Grassland - Low producing,2002631.21619968213
Canterbury,2008,Grassland - High producing,966877.07787885060
Canterbury,2008,Natural Forest,439238.59725657199
Canterbury,2008,Other,415954.67857277258
Canterbury,2008,Cropland - Annual,244466.73618142184
Canterbury,2008,Grassland - With woody biomass,236111.62536593433
Canterbury,2008,Wetland - Open water,130609.49429509892
Canterbury,2008,Planted Forest - Pre-1990,95337.05851397917
Canterbury,2008,Post 1989 Forest,39097.84401377146
Canterbury,2008,Settlements,29983.36064186605
Canterbury,2008,Wetland - Vegetated non forest,16846.52619787079
Canterbury,2008,Cropland - Perennial,4833.14541853864
Gisborne,2008,Grassland - Low producing,302772.62955240525
Gisborne,2008,Natural Forest,231821.31391884237
Gisborne,2008,Post 1989 Forest,93620.35071514180
Gisborne,2008,Planted Forest - Pre-1990,83244.47323701682
Gisborne,2008,Grassland - High producing,78922.87982553132
Gisborne,2008,Grassland - With woody biomass,26733.25880337327
Gisborne,2008,Cropland - Annual,6780.62190845171
Gisborne,2008,Cropland - Perennial,5048.70739784381
Gisborne,2008,Other,4322.15017436459
Gisborne,2008,Settlements,2722.73388612124
Gisborne,2008,Wetland - Open water,2582.68912771497
Gisborne,2008,Wetland - Vegetated non forest,637.14681573155
Hawkes Bay,2008,Grassland - High producing,442008.85293570683
Hawkes Bay,2008,Natural Forest,417782.88951336833
Hawkes Bay,2008,Grassland - Low producing,303477.57379303883
Hawkes Bay,2008,Planted Forest - Pre-1990,97432.85388858217
Hawkes Bay,2008,Post 1989 Forest,67231.46559726216
Hawkes Bay,2008,Grassland - With woody biomass,38992.87447956446
Hawkes Bay,2008,Cropland - Perennial,17220.71331245987
Hawkes Bay,2008,Wetland - Open water,12902.91763682454
Hawkes Bay,2008,Cropland - Annual,10180.34537727366
Hawkes Bay,2008,Settlements,7402.96026246378
Hawkes Bay,2008,Other,3013.16553717166
Hawkes Bay,2008,Wetland - Vegetated non forest,2579.42887195345
Manawatu-Wanganui,2008,Grassland - Low producing,762469.97234571887
Manawatu-Wanganui,2008,Natural Forest,599595.66160635998
Manawatu-Wanganui,2008,Grassland - High producing,550880.00804103850
Manawatu-Wanganui,2008,Grassland - With woody biomass,104987.39946364698
Manawatu-Wanganui,2008,Planted Forest - Pre-1990,75387.69264890931
Manawatu-Wanganui,2008,Post 1989 Forest,71989.58807820994
Manawatu-Wanganui,2008,Cropland - Annual,14289.58565731390
Manawatu-Wanganui,2008,Settlements,13776.59316215186
Manawatu-Wanganui,2008,Other,13319.91099946015
Manawatu-Wanganui,2008,Wetland - Open water,9812.11839280453
Manawatu-Wanganui,2008,Wetland - Vegetated non forest,5216.70341028573
Manawatu-Wanganui,2008,Cropland - Perennial,729.60917614680
